ID,PRIMARY_ID,SECONDARY_ID,ACTIVITY_TYPE,USER_ID,TIMESTAMP,ADDL_INFO
8a4d92b2373f82e2013780c8b5b50740,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 16:37,[skravitz@mitre.org] measureTab1 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e2013780c8a86f071c,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 16:37,[skravitz@mitre.org] measureTab0 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e2013780c8a919071d,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 16:37,[skravitz@mitre.org] mainTab2
8a4d92b2373f82e2013780c8a006071b,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 16:37,[skravitz@mitre.org] mainTab1
8a4d92b2373f82e2013780c4a60e06ef,NULL,NULL,TIMEOUT_WARNING_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 16:33,"[skravitz@mitre.org] Running TimeOutTimer, ActualTimeOut time is :-May 24, 2012 5:43:20 PM"
8a4d92b2373f82e2013780947b4b0509,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:40,[skravitz@mitre.org] mainTab0
8a4d92b2373f82e201378071b7780243,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] measureTab1 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e201378071a73c021f,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] measureTab0 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e201378071a7fb0220,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] mainTab2
8a4d92b2373f82e2013780719dd901fc,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] mainTab1
8a4d92b2373f82e2013780717e0001fa,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] measureTab0 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e2013780717ee101fb,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] mainTab2
8a4d92b2373f82e201378071772301d7,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] mainTab1
8a4d92b2373f82e2013780716b6501d5,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] mainTab2
8a4d92b2373f82e2013780716c1c01d6,8a4d92b2370b19fa01370dd62a800a51,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] measureTab0 [measure] NQF 0109: Depression - Screening for Bipolar mania/hypomania prior to treatment for depression [version] Draft based on v0.0
8a4d92b2373f82e201378071501501b2,8a4d92b2370b19fa01370dd62a800a51,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] measureTab1 [measure] NQF 0109: Depression - Screening for Bipolar mania/hypomania prior to treatment for depression [version] Draft based on v0.0
8a4d92b2373f82e201378071483c01b0,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] mainTab2
8a4d92b2373f82e201378071489a01b1,8a4d92b2370b19fa01370dd62a800a51,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] measureTab0 [measure] NQF 0109: Depression - Screening for Bipolar mania/hypomania prior to treatment for depression [version] Draft based on v0.0
8a4d92b2373f82e2013780713b7f01af,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:02,[skravitz@mitre.org] mainTab1
8a4d92b2373f82e201378070a74401ae,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:01,[skravitz@mitre.org] measureTab1 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e201378070a0d2018a,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:01,[skravitz@mitre.org] mainTab2
8a4d92b2373f82e201378070a109018b,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:01,[skravitz@mitre.org] measureTab0 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e20137807050360129,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:01,[skravitz@mitre.org] mainTab1
8a4d92b2373f82e20137807046dc0127,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:01,[skravitz@mitre.org] measureTab0 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e20137807047440128,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:01,[skravitz@mitre.org] mainTab2
8a4d92b2373f82e20137807041380126,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:01,[skravitz@mitre.org] mainTab1
8a4d92b2373f82e20137807031280123,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_PACKAGE_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:01,[skravitz@mitre.org]  [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0 [package date] 05/23/2012
8a4d92b2373f82e2013780702a0d0122,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:01,[skravitz@mitre.org] measureTab2 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e20137807017b400fe,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:00,[skravitz@mitre.org] measureTab0 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e201378070181800ff,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:00,[skravitz@mitre.org] mainTab2
8a4d92b2373f82e20137806f6d0900bd,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:00,[skravitz@mitre.org] mainTab1
8a4d92b2373f82e20137806f5cf100ae,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_PACKAGE_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:00,[skravitz@mitre.org]  [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0 [package date] 05/23/2012
8a4d92b2373f82e20137806f55d400a3,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:00,[skravitz@mitre.org] measureTab2 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e20137806f484900a0,8a4d92b2370b19fa013718bab7d6520a,NULL,SAVE_PHRASE_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 15:00,[skravitz@mitre.org] [id] No Evidence of Diagnosis or Treatment for Bipolar or Unipolar [change id] No Evidence of Diagnosis or Treatment for Bipolar or Unipolar
8a4d92b2373f82e201378068da700069,8a4d92b2370b19fa013718bab7d6520a,NULL,MEASURE_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 14:53,[skravitz@mitre.org] measureTab1 [measure] Bipolar Disorder and Major Depression:  Appraisal for alcohol or chemical substance use [version] Draft based on v0.0
8a4d92b2373f82e201378068d3860045,NULL,NULL,MAIN_TAB_EVENT,8a4d9281329e06480132ab24666300df,5/24/2012 14:53,[skravitz@mitre.org] mainTab2
